slug,estado,detalle
fin-patentes-investigacion-medica,ok,879
fin-propiedad-privada-suscripcion,ok,880
fin-subsidios-agricolas-precios,ok,881
flora-bioluminiscente-ciudades-arboles,ok,882
fotosintesis-inversa-absorber-oscuridad,ok,883
fuga-de-fotones-oscuridad-total,ok,884
fusion-simbiotica-hongos-piel,ok,885
gigantes-rojas-absorben-sistema,ok,886
gigantismo-aracnidos-mutacion,ok,887
gps-caido-caos-logistico,ok,888
gravedad-cero-musculos-humanos,ok,889
gravedad-mitad-atrofia-muscular,ok,890
gravedad-negativa-energia-oscura,ok,891
guerra-drones-sin-humanos,ok,892
herencias-prohibidas-reset-generacional,ok,893
hibernacion-humana-metamorfosis,ok,894
hibrido-oso-tigre-anatomia,ok,895
hibridos-hombre-maquina-biologia,ok,896
hielo-derretido-nuevo-mapa,ok,897
hologramas-fisicos-viajes,ok,898
huracanes-categoria-6-diarios,ok,899
ia-bloqueando-comunicaciones,ok,900
ilegalizacion-interes-prestamos,ok,901
impresion-3d-organos-humanos,ok,902
impuesto-belleza-fisica-genetica,ok,903
impuesto-carbono-personal-cuotas,ok,904
inmortalidad-biologica-estancamiento,ok,905
inmunidad-absoluta-fin-enfermedades,ok,906
inteligencia-chimpances-segunda-especie,ok,907
intercambio-de-vidas-mercado,ok,908
interfaces-hapticas-dolor-internet,ok,909
internet-cuantico-encriptacion,ok,910
invernacion-inversa-estivacion,ok,911
inversion-genetica-ninos-prodigio,ok,912
inversion-polos-magneticos-tierra,ok,913
jueces-ia-sistema-legal,ok,914
jupiter-reemplaza-luna,ok,915
lluvia-de-diamantes-en-neptuno,ok,916
luna-shatter-fragmentos,ok,917
luz-de-estrellas-muertas-realidad,ok,918
marea-roja-lunar-eclipse,ok,919
mascotas-roboticas-reemplazo,ok,920
materia-espejo-universo-paralelo,ok,921
medicion-estres-impuestos,ok,922
mercado-negro-recuerdos-digitales,ok,923
mercado-sueno-vender-descanso,ok,924
mercados-predictivos-extremos,ok,925
meteorito-antimateria-impacto,ok,926
meteorito-diamante-oceano,ok,927
micro-agujero-negro-tierra,ok,928
mineria-asteroides-desplome-economia,ok,929
moneda-global-unica-soberania,ok,930
monopolio-corporativo-unico-omnicorp,ok,931
muerte-termica-universo-simulacion,ok,932
multas-segun-ingresos,ok,933
mundo-sin-mosquitos-colapso,ok,934
mundo-sin-numero-dos,ok,935
musica-sintetica-ia-grammy,ok,936
mutacion-ocular-vision-infrarroja,ok,937
nanobots-medicos-privacidad,ok,938
noche-eterna-cometa-gigante,ok,939
nucleo-tierra-se-enfria,ok,940
oceanos-agua-dulce-extincion,ok,941
olas-de-gravedad-terrestre,ok,942
olfato-sabueso-infierno-sensorial,ok,943
oro-sin-valor-asteroide,ok,944
oxigeno-doble-insectos-gigantes,ok,945
pagar-por-luz-solar-corporaciones,ok,946
pagar-por-oxigeno-aire-limpio,ok,947
pago-por-atencion-publicidad,ok,948
paradoja-de-fermi-silencio-espacial,ok,949
penalizacion-del-ahorro-multas,ok,950
perdida-oido-vibraciones-tactiles,ok,951
piel-camaleonica-camuflaje,ok,952
piel-fotosintetica-alimentacion-sol,ok,953
piel-titanio-modificacion-genetica,ok,954
planeta-de-diamante-fundido,ok,955
planeta-errante-cruza-sistema,ok,956
policia-predictiva-arrestos-ia,ok,957
polinizacion-robotica-drones,ok,958
precio-fijo-universal-comercio,ok,959
profesores-ia-cierre-escuelas,ok,960
prohibicion-conducir-humanos,ok,961
pulsar-cercano-emision-ondas-radio,ok,962
quiebra-aseguradoras-sin-proteccion,ok,963
quiebra-bolsa-cierre-wall-street,ok,964
quiebra-empresas-petroleras,ok,965
rayos-cosmicos-interferencia-cerebral,ok,966
realidad-virtual-indistinguible,ok,967
rebelion-ganado-animales-hablan,ok,968
reciclaje-obligatorio-economia-chatarra,ok,969
redes-neuronales-planetarias,ok,970
regeneracion-extremidades-salamandras,ok,971
regreso-megalodon-superdepredador,ok,972
renta-por-datos-personales,ok,973
reproduccion-asexual-humana-fin-relaciones,ok,974
resistencia-radiacion-nuclear,ok,975
resurreccion-digital-avatares,ok,976
retorno-dinosaurios-ciudades,ok,977
retorno-megafauna-mamuts,ok,978
retorno-trueque-sin-dinero,ok,979
robots-con-derechos-laborales,ok,980
ropa-inteligente-emociones,ok,981
salario-emocional-realidad-virtual,ok,982
salario-universal-obligatorio,ok,983
salarios-calorias-quemadas,ok,984
sangre-fria-humanos-reptiles,ok,985
satelites-en-caida-libre-eterna,ok,986
semana-laboral-dos-dias,ok,987
semillas-extraterrestres-invasion,ok,988
sexto-sentido-campos-magneticos,ok,989
silencio-abejas-fin-polinizacion,ok,990
silencio-movil-sin-smartphones,ok,991
sin-cuerdas-vocales-humanidad,ok,992
sin-dolor-extincion-rapida,ok,993
sin-dormir-colapso-mental,ok,994
sin-jubilacion-trabajo-eterno,ok,995
sistema-solar-materia-oscura,ok,996
sol-desaparece-8-minutos,ok,997
sol-doble-sistema-binario-tierra,ok,998
sol-gigante-roja-traga-tierra,ok,999
subastas-organos-legales,ok,1000
suenos-patrocinados-publicidad,ok,1001
supernova-cercana-tierra,ok,1002
suscripcion-ciudadania-nacionalidad,ok,1003
suscripcion-inmortalidad-millonaria,ok,1004
telepatia-sintetica-fin-mentira,ok,1005
tiempo-cuantico-dilatacion-extrema,ok,1006
tiempo-se-detiene-horizonte-sucesos,ok,1007
tiempo-y-espacio-relativo-gps,ok,1008
tierra-atraviesa-nebulosa-densa,ok,1009
tierra-con-dos-lunas,ok,1010
tierra-deja-de-girar,ok,1011
tierra-orbita-enana-roja,ok,1012
tierra-se-expande-10-porciento,ok,1013
tierra-se-vuelve-venus,ok,1014
tierra-tamano-jupiter-gravedad,ok,1015
tormenta-solar-fin-tecnologia,ok,1016
trabajo-forzado-gimnasios-impuestos,ok,1017
trabajo-infantil-legalizado,ok,1018
traduccion-animal-ladridos,ok,1019
traductores-neurales-idiomas,ok,1020
trafico-aereo-urbano-autos-voladores,ok,1021
turismo-virtual-quiebra-aerolineas,ok,1022
un-ano-sin-noche-insomnio,ok,1023
un-millon-al-nacer-hiperinflacion,ok,1024
universo-holografico-realidad-falsa,ok,1025
velocidad-luz-100-kmh,ok,1026
veneno-humano-glandulas-defensa,ok,1027
vida-basada-en-silicio,ok,1028
vida-planeta-anclado-marea,ok,1029
viento-solar-auroras-urbanas-letales,ok,1030
vigilancia-nivel-atomico-privacidad,ok,1031
virus-antiguos-permafrost,ok,1032
vivienda-gratuita-mercado-inmobiliario,ok,1033
